,Regionrank,Country/Territory,2024 GDP (nominal) in billions
0,1,China,18.53  trillion[2]
1,2,Japan,4.07  trillion[3]
2,3,India,3.88  trillion[4]
3,4,Russia,2.0 trillion
4,5,South Korea,1.76 trillion
5,6,Indonesia,1.47  trillion
6,7,Turkey,1.3 trillion
7,8,Saudi Arabia,1.11  trillion
8,9,Taiwan,803.0 billion
9,10,Thailand,548.9 billion
10,11,Israel,530.6 billion
11,12,United Arab Emirates,527.8 billion
12,13,Singapore,525.2 billion
13,14,Philippines,471.5 billion
14,15,Vietnam,465.8 billion
15,16,Bangladesh,451.16 billion
16,17,Malaysia,445.5 billion
17,18,Iran,434.8 billion
18,19,"Hong Kong
(SAR)",401.5 billion
19,20,Pakistan,374.6 billion
20,21,Kazakhstan,292.8 billion
21,22,Iraq,265.6 billion
22,23,Qatar,223.3 billion
23,24,Kuwait,184.8 billion
24,25,Oman,114.7 billion
25,26,Uzbekistan,101.8 billion
26,27,Turkmenistan,91.1  billion
27,28,Sri Lanka,85.4  billion
28,29,Azerbaijan,80.9  billion
29,30,Myanmar,68.3  billion
30,31,"Macau
(SAR)",54.7  billion
31,32,Jordan,53.6  billion
32,33,Bahrain,46.8  billion
33,34,Nepal,46.1  billion
34,35,Cambodia,45.2  billion
35,36,Lebanon,38.1  billion
36,37,Cyprus,34.3  billion
37,38,Georgia,36.6  billion
38,39,Armenia,27.5  billion
39,40,North Korea,24.5  billion
40,41,Syria,22.4  billion
41,42,Mongolia,22.1  billion
42,43,Palestine,19.8  billion
43,44,Laos,19.1  billion
44,45,Afghanistan,17.1 billion
45,46,Yemen,16.9 billion
46,47,Brunei,16.4  billion
47,48,Kyrgyzstan,13.7  billion
48,49,Tajikistan,13.2  billion
49,50,Maldives,8.21  billion
50,51,Bhutan,3.31  billion
51,52,Timor-Leste,3.25  billion
